"","dt","SPY","TLT"
"92","2007-01-03","58%","43%"
"91","2007-02-01","59%","42%"
"90","2007-03-01","57%","44%"
"89","2007-04-02","58%","43%"
"88","2007-05-01","58%","43%"
"87","2007-06-01","61%","40%"
"86","2007-07-02","60%","41%"
"85","2007-08-01","59%","42%"
"84","2007-09-04","68%","33%"
"83","2007-10-01","68%","33%"
"82","2007-11-01","65%","36%"
"81","2007-12-03","68%","33%"
"80","2008-01-02","68%","33%"
"79","2008-02-01","66%","35%"
"78","2008-03-03","64%","37%"
"77","2008-04-01","65%","36%"
"76","2008-05-01","65%","36%"
"75","2008-06-02","65%","36%"
"74","2008-07-01","48%","53%"
"73","2008-08-01","47%","54%"
"72","2008-09-02","48%","53%"
"71","2008-10-01","35%","66%"
"70","2008-11-03","12%","89%"
"69","2008-12-01","1%","100%"
"68","2009-01-02","10%","91%"
"67","2009-02-02","0%","100%"
"66","2009-03-02","0%","100%"
"65","2009-04-01","0%","100%"
"64","2009-05-01","0%","100%"
"63","2009-06-01","3%","98%"
"62","2009-07-01","5%","96%"
"61","2009-08-03","19%","82%"
"60","2009-09-01","16%","85%"
"59","2009-10-01","18%","83%"
"58","2009-11-02","13%","88%"
"57","2009-12-01","19%","82%"
"56","2010-01-04","31%","70%"
"55","2010-02-01","20%","81%"
"54","2010-03-01","26%","75%"
"53","2010-04-01","39%","62%"
"52","2010-05-03","38%","63%"
"51","2010-06-01","21%","80%"
"50","2010-07-01","8%","93%"
"49","2010-08-02","24%","77%"
"48","2010-09-01","18%","83%"
"47","2010-10-01","26%","75%"
"46","2010-11-01","28%","73%"
"45","2010-12-01","32%","69%"
"44","2011-01-03","35%","66%"
"43","2011-02-01","39%","62%"
"42","2011-03-01","34%","67%"
"41","2011-04-01","33%","68%"
"40","2011-05-02","36%","65%"
"39","2011-06-01","33%","68%"
"38","2011-07-01","36%","65%"
"37","2011-08-01","31%","70%"
"36","2011-09-01","25%","76%"
"35","2011-10-03","18%","83%"
"34","2011-11-01","25%","76%"
"33","2011-12-01","26%","75%"
"32","2012-01-03","26%","75%"
"31","2012-02-01","30%","71%"
"30","2012-03-01","31%","70%"
"29","2012-04-02","32%","69%"
"28","2012-05-01","29%","72%"
"27","2012-06-01","25%","76%"
"26","2012-07-02","31%","70%"
"25","2012-08-01","30%","71%"
"24","2012-09-04","30%","71%"
"23","2012-10-01","31%","70%"
"22","2012-11-01","33%","68%"
"21","2012-12-03","33%","68%"
"20","2013-01-02","39%","62%"
"19","2013-02-01","43%","58%"
"18","2013-03-01","43%","58%"
"17","2013-04-01","42%","59%"
"16","2013-05-01","40%","61%"
"15","2013-06-03","47%","54%"
"14","2013-07-01","48%","53%"
"13","2013-08-01","52%","49%"
"12","2013-09-03","55%","46%"
"11","2013-10-01","60%","41%"
"10","2013-11-01","65%","36%"
"9","2013-12-02","69%","32%"
"8","2014-01-02","58%","43%"
"7","2014-02-03","57%","44%"
"6","2014-03-03","57%","44%"
"5","2014-04-01","56%","45%"
"4","2014-05-01","55%","46%"
"3","2014-06-02","55%","46%"
"2","2014-07-01","56%","45%"
"1","2014-08-01","55%","46%"
